shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
21260,38.779637,-9.104465,2,
21260,38.776416,-9.10278,3,
21260,38.775044,-9.10224,4,
21260,38.774425,-9.106036,5,
21260,38.774242,-9.111261,6,
21260,38.771711,-9.109989,7,
21260,38.769494,-9.112985,8,
21260,38.769084,-9.11732,9,
21260,38.766903,-9.119888,10,
21260,38.764046,-9.119032,11,
21260,38.762622,-9.119658,12,
21260,38.761704,-9.12209,13,
21260,38.762481,-9.130372,14,
21260,38.759463,-9.137137,15,
21260,38.758137,-9.141655,16,
21260,38.756315,-9.146929,17,
21260,38.754808,-9.152563,18,
21260,38.753847,-9.156517,19,
21260,38.750757,-9.158865,20,
21260,38.745341,-9.157034,21,
21260,38.743964,-9.15809,22,
21260,38.741672,-9.157342,23,
21260,38.741315,-9.160291,24,
21260,38.741222,-9.162522,25,
21260,38.742544,-9.168598,26,
21260,38.739162,-9.167512,27,
21260,38.73864,-9.164591,28,
21260,38.737569,-9.164504,29,
21261,38.755739,-9.168599,1,
21261,38.754113,-9.168961,2,
21261,38.752813,-9.167915,3,
21261,38.750002,-9.159708,4,
21261,38.745341,-9.157034,5,
21261,38.743964,-9.15809,6,
21261,38.741672,-9.157342,7,
21261,38.741315,-9.160291,8,
21261,38.741222,-9.162522,9,
21261,38.742577,-9.168298,10,
21267,38.756676,-9.11324,1,
21267,38.753727,-9.114232,2,
21267,38.75222,-9.114031,3,
21267,38.747965,-9.11292,4,
21267,38.74634,-9.112979,5,
21267,38.744135,-9.113686,6,
21267,38.743073,-9.111799,7,
21267,38.74432,-9.110745,8,
21267,38.748252,-9.108782,9,
21267,38.749791,-9.103277,10,
21267,38.748977,-9.132888,11,
21267,38.749131,-9.136327,12,
21267,38.749242,-9.138289,13,
21267,38.748711,-9.146651,14,
21267,38.747207,-9.14842,15,
21267,38.745823,-9.148119,16,
21282,38.726201,-9.140891,1,
21282,38.727769,-9.142964,2,
21282,38.726621,-9.145091,3,
21282,38.725156,-9.146197,4,
21282,38.722917,-9.149263,5,
21282,38.721689,-9.151571,6,
21282,38.720248,-9.15489,7,
21282,38.721471,-9.156386,8,
21282,38.723216,-9.160121,9,
21282,38.721059,-9.160979,10,
21282,38.720971,-9.163546,11,
21282,38.720234,-9.165447,12,
21282,38.718395,-9.166245,13,
21282,38.718335,-9.169367,14,
21282,38.716991,-9.169629,15,
21282,38.714256,-9.169982,16,
21284,38.6995,-9.227799,1,
21284,38.699497,-9.228493,2,
21284,38.699548,-9.2321,3,
21284,38.699268,-9.237516,4,
21284,38.70028,-9.240924,5,
21284,38.700734,-9.244743,6,
21284,38.700347,-9.246994,7,
21284,38.701032,-9.24951,8,
21284,38.701863,-9.251348,9,
21284,38.703368,-9.251435,10,
21284,38.705168,-9.252527,11,
21285,38.705168,-9.252527,1,
21285,38.701897,-9.251453,2,
21285,38.701007,-9.249701,3,
21285,38.700272,-9.246881,4,
21285,38.700625,-9.244713,5,
21285,38.700142,-9.240446,6,
21285,38.699184,-9.23749,7,
21285,38.699417,-9.232097,8,
21285,38.699236,-9.230712,9,
21285,38.699403,-9.228571,10,
21285,38.6995,-9.227799,11,
21288,38.707967,-9.133242,1,
21288,38.708688,-9.130453,2,
21288,38.709969,-9.128189,3,
21288,38.710918,-9.126702,4,
21288,38.713531,-9.123471,5,
21288,38.716375,-9.120627,6,
21288,38.718064,-9.118806,7,
21288,38.720513,-9.116873,8,
21288,38.722855,-9.115098,9,
21288,38.724688,-9.113388,10,
21288,38.726105,-9.113492,11,
21288,38.727784,-9.114681,12,
21288,38.731249,-9.116807,13,
21288,38.733928,-9.117255,14,
21288,38.735472,-9.117064,15,
21288,38.739673,-9.117672,16,
21288,38.742344,-9.116783,17,
21288,38.744132,-9.11845,18,
21288,38.746596,-9.119261,19,
21288,38.748202,-9.118425,20,
21288,38.752117,-9.120855,21,
21288,38.75266,-9.123002,22,
21288,38.751065,-9.124555,23,
21288,38.753626,-9.125939,24,
21288,38.7555,-9.126346,25,
21288,38.757622,-9.126376,26,
21288,38.759122,-9.124803,27,
21288,38.757903,-9.123185,28,
21288,38.756205,-9.120716,29,
21288,38.754925,-9.118131,30,
21288,38.752105,-9.116658,31,
21288,38.752047,-9.113506,32,
21288,38.755094,-9.113547,33,
21288,38.754428,-9.109356,34,
21288,38.752992,-9.105705,35,
21288,38.750511,-9.104519,36,
21288,38.753472,-9.10311,37,
21288,38.756616,-9.103018,38,
21288,38.7595,-9.10332,39,
21288,38.763674,-9.103671,40,
21288,38.766835,-9.104004,41,
21288,38.768172,-9.09993,42,
21290,38.722194,-9.128725,1,
21290,38.723879,-9.129382,2,
21290,38.725973,-9.129944,3,
21290,38.728519,-9.130836,4,
21290,38.729168,-9.129892,5,
21290,38.730414,-9.127801,6,
21290,38.732109,-9.128295,7,
21290,38.732735,-9.130411,8,
21290,38.733344,-9.132793,9,
21294,38.792433,-9.15025,1,
21294,38.790754,-9.150761,2,
21294,38.787852,-9.14987,3,
21294,38.78785,-9.145983,4,
